N,p,run,T
10000000,1,1,2.818351
10000000,1,2,2.783530
10000000,1,3,2.565382
10000000,1,4,2.718929
10000000,1,5,2.450829
10000000,2,1,1.432084
10000000,2,2,1.297985
10000000,2,3,1.281482
10000000,2,4,1.137666
10000000,2,5,1.310520
10000000,4,1,0.744022
10000000,4,2,0.542250
10000000,4,3,0.734242
10000000,4,4,0.826045
10000000,4,5,0.874164
10000000,6,1,0.672288
10000000,6,2,0.712991
10000000,6,3,0.698846
10000000,6,4,0.666661
10000000,6,5,0.707106
10000000,8,1,0.575768
10000000,8,2,0.580728
10000000,8,3,0.482628
10000000,8,4,0.464362
10000000,8,5,0.466186
100000000,1,1,23.325417
100000000,1,2,25.951262
100000000,1,3,23.260539
100000000,1,4,23.495082
100000000,1,5,23.823409
100000000,2,1,10.878605
100000000,2,2,11.337257
100000000,2,3,10.969856
100000000,2,4,12.984890
100000000,2,5,11.959801
100000000,4,1,6.501740
100000000,4,2,6.668725
100000000,4,3,5.910292
100000000,4,4,6.612886
100000000,4,5,6.139603
100000000,6,1,6.827341
100000000,6,2,7.275113
100000000,6,3,7.123680
100000000,6,4,6.873603
100000000,6,5,7.930179
100000000,8,1,8.255056
100000000,8,2,8.132905
100000000,8,3,7.961267
100000000,8,4,7.729568
100000000,8,5,7.972591
